"RecOrigin","RecFlags","RecVrsn","Manufacturer","Model","SysType","UnitType","ClgCap","HtgCap","PowerCode","Series","MixPipeId","VapPipeId","Height","Width","Depth","Weight","MaxPipeLen","MaxPipeHeight"
"CARR","","2042","CARR","38MGRBQ18BA3","H","OM","18000","19000","A","A","0250","0375","27","35","13","100","131","49"
"CARR","","2042","CARR","38MGRBQ36DA3","H","OM","36000","37000","A","A","0250","0500","32","37","16","169","262","49"
"CARR","","2042","CARR","38MGRBQ48EA3","H","OM","48000","48000","A","A","0250","0500","52","37","16","226","328","65"
"WSF","","1937","WSF","AIC36AA","A","IC","36000","0","A","A","0375","0500","12","34","34","55","200","90"
"WSF","","1937","WSF","AIC42AA","A","IC","42000","0","A","A","0375","0500","12","34","34","55","250","100"
"WSF","","1937","WSF","AIC48AA","A","IC","48000","0","A","A","0500","0625","12","34","34","55","250","100"
"WSF","","1937","WSF","AIC54AA","A","IC","54000","0","A","A","0500","0625","14","36","36","70","250","100"
"WSF","","1937","WSF","AIC60AA","A","IC","60000","0","A","A","0500","0625","14","36","36","70","250","100"
"WSF","","1937","WSF","AID09AA","A","ID","9000","0","A","A","0250","0375","12","36","24","30","100","50"
"WSF","","1937","WSF","AID12AA","A","ID","12000","0","A","A","0250","0375","12","36","24","30","100","50"
"WSF","","1937","WSF","AID15AA","A","ID","15000","0","A","A","0250","0375","12","36","24","30","100","50"
"WSF","","1937","WSF","AID18AA","A","ID","18000","0","A","A","0250","0375","12","40","28","80","130","70"
"GREE","","2235","GREE","CAS09HP230V1R32AH","H","IC","9500","10500","A","A","0250","0375","22","22","10","38","131","49"
"GREE","","2235","GREE","CAS12HP230V1R32AH","H","IC","12000","13500","A","A","0250","0375","22","22","10","38","197","49"
"GREE","","2235","GREE","CAS18HP230V1R32AH","H","IC","18000","20000","A","A","0375","0500","22","22","10","38","263","82"
"GREE","","2235","GREE","CAS24HP230V1R32AH","H","IC","24000","27000","A","A","0375","0625","33","33","10","64","263","82"
"GREE","","2235","GREE","CAS30HP230V1R32AH","H","IC","30000","34000","A","A","0375","0625","33","33","10","50","328","82"
"GREE","","2235","GREE","CAS36HP230V1R32AH","H","IC","36000","40000","A","A","0375","0625","33","33","10","51","328","82"
"GREE","","2235","GREE","CON09HP230V1R32AH","H","IW","9500","10500","A","A","0250","0375","8","28","24","33","131","49"
"GREE","","2235","GREE","CON12HP230V1R32AH","H","IW","12000","13500","A","A","0250","0375","8","28","24","33","197","49"
