"Category","Item","Description","Units"
"DFRPLN","FPLD-20","Plenum radius elbow, size 20""","0"
"DFRPLN","FPLD-4","Plenum radius elbow, size 4""","0"
"DFRPLN","FPLD-5","Plenum radius elbow, size 5""","0"
"DFRPLN","FPLD-6","Plenum radius elbow, size 6""","0"
"DFRPLN","FPLD-7","Plenum radius elbow, size 7""","0"
"DFRPLN","FPLD-8","Plenum radius elbow, size 8""","0"
"DFRPLN","FPLD-9","Plenum radius elbow, size 9""","0"
"DFRPLN","FPLI-1010","Plenum rect take off, size 10""x10""","0"
"DFRPLN","FPLI-1004","Plenum rect take off, size 10""x4""","0"
"DFRPLN","FPLI-1006","Plenum rect take off, size 10""x6""","0"
"DFRPLN","FPLI-1008","Plenum rect take off, size 10""x8""","0"
"DFRPLN","FPLI-1210","Plenum rect take off, size 12""x10""","0"
"DFRPLN","FPLI-1212","Plenum rect take off, size 12""x12""","0"
"DFRPLN","FPLI-1204","Plenum rect take off, size 12""x4""","0"
"DFRPLN","FPLI-1206","Plenum rect take off, size 12""x6""","0"
"DFRPLN","FPLI-1208","Plenum rect take off, size 12""x8""","0"
"DFRPLN","FPLI-1410","Plenum rect take off, size 14""x10""","0"
"DFRPLN","FPLI-1412","Plenum rect take off, size 14""x12""","0"
"DFRPLN","FPLI-1404","Plenum rect take off, size 14""x4""","0"
"DFRPLN","FPLI-1406","Plenum rect take off, size 14""x6""","0"
"DFRPLN","FPLI-1408","Plenum rect take off, size 14""x8""","0"
"DFRPLN","FPLI-1610","Plenum rect take off, size 16""x10""","0"
"DFRPLN","FPLI-1612","Plenum rect take off, size 16""x12""","0"
"DFRPLN","FPLI-1606","Plenum rect take off, size 16""x6""","0"
"DFRPLN","FPLI-1608","Plenum rect take off, size 16""x8""","0"
"DFRPLN","FPLI-1604","Plenum rect take off, size 16x4""","0"
"DFRPLN","FPLI-1804","Plenum rect take off, size 18""x4""","0"
"DFRPLN","FPLI-1810","Plenum rect take off, size 18x10""","0"
"DFRPLN","FPLI-1812","Plenum rect take off, size 18x12""","0"
"DFRPLN","FPLI-1806","Plenum rect take off, size 18x6""","0"
"DFRPLN","FPLI-1808","Plenum rect take off, size 18x8""","0"
"DFRPLN","FPLI-2010","Plenum rect take off, size 20""x10""","0"
"DFRPLN","FPLI-2012","Plenum rect take off, size 20""x12""","0"
"DFRPLN","FPLI-2004","Plenum rect take off, size 20""x4""","0"
"DFRPLN","FPLI-2006","Plenum rect take off, size 20""x6""","0"
"DFRPLN","FPLI-2008","Plenum rect take off, size 20""x8""","0"
"DFRPLN","FPLI-2410","Plenum rect take off, size 24""x10""","0"
"DFRPLN","FPLI-2412","Plenum rect take off, size 24""x12""","0"
"DFRPLN","FPLI-2406","Plenum rect take off, size 24""x6""","0"
"DFRPLN","FPLI-2408","Plenum rect take off, size 24""x8""","0"
"DFRPLN","FPLI-3010","Plenum rect take off, size 30""x10""","0"
"DFRPLN","FPLI-3012","Plenum rect take off, size 30""x12""","0"
"DFRPLN","FPLH-1812","Plenum rect tapered take off, size 18x12""","0"
"DFRPLN","FPLH-1806","Plenum rect tapered take off, size 18x6""","0"
"DFRPLN","FPLH-1808","Plenum rect tapered take off, size 18x8""","0"
"DFRPLN","FPLH-2010","Plenum rect tapered take off, size 20""x10""","0"
"DFRPLN","FPLH-2012","Plenum rect tapered take off, size 20""x12""","0"
"DFRPLN","FPLH-2004","Plenum rect tapered take off, size 20""x4""","0"
"DFRPLN","FPLH-2006","Plenum rect tapered take off, size 20""x6""","0"
"DFRPLN","FPLH-2008","Plenum rect tapered take off, size 20""x8""","0"
"DFRPLN","FPLH-2410","Plenum rect tapered take off, size 24""x10""","0"
"DFRPLN","FPLH-2412","Plenum rect tapered take off, size 24""x12""","0"
"DFRPLN","FPLH-2406","Plenum rect tapered take off, size 24""x6""","0"
"DFRPLN","FPLH-2408","Plenum rect tapered take off, size 24""x8""","0"
"DFRPLN","FPLH-3010","Plenum rect tapered take off, size 30""x10""","0"
"DFRPLN","FPLH-3012","Plenum rect tapered take off, size 30""x12""","0"
"DFRPLN","FPLH-3006","Plenum rect tapered take off, size 30""x6""","0"
"DFRPLN","FPLH-3008","Plenum rect tapered take off, size 30""x8""","0"
"DFRPLN","FPLH-0404","Plenum rect tapered take off, size 4""x4""","0"
"DFRPLN","FPLH-0604","Plenum rect tapered take off, size 6""x4""","0"
"DFRPLN","FPLH-0606","Plenum rect tapered take off, size 6""x6""","0"
"DFRPLN","FPLH-0804","Plenum rect tapered take off, size 8""x4""","0"
"DFRPLN","FPLH-0806","Plenum rect tapered take off, size 8""x6""","0"
"DFRPLN","FPLH-0808","Plenum rect tapered take off, size 8""x8""","0"
"DFRPLN","FPLJ-10","Plenum side round take off with trans, size 10""","0"
"DFRPLN","FPLJ-12","Plenum side round take off with trans, size 12""","0"
"DFRPLN","FPLJ-14","Plenum side round take off with trans, size 14""","0"
"DFRPLN","FPLJ-16","Plenum side round take off with trans, size 16""","0"
"DFRPLN","FPLJ-18","Plenum side round take off with trans, size 18""","0"
"DFRPLN","FPLJ-20","Plenum side round take off with trans, size 20""","0"
"DFRPLN","FPLJ-22","Plenum side round take off with trans, size 22""","0"
"DFRPLN","FPLJ-24","Plenum side round take off with trans, size 24""","0"
"DFRPLN","FPLJ-30","Plenum side round take off with trans, size 30""","0"
"DFRPLN","FPLJ-4","Plenum side round take off with trans, size 4""","0"
"DFRPLN","FPLJ-5","Plenum side round take off with trans, size 5""","0"
"DFRPLN","FPLJ-6","Plenum side round take off with trans, size 6""","0"
"DFRPLN","FPLJ-7","Plenum side round take off with trans, size 7""","0"
"DFRPLN","FPLJ-8","Plenum side round take off with trans, size 8""","0"
"DFRPLN","FPLJ-9","Plenum side round take off with trans, size 9""","0"
"DFRPLN","FPLG-10","Plenum side round take off, size 10""","0"
"DFRPLN","FPLG-12","Plenum side round take off, size 12""","0"
"DFRPLN","FPLG-14","Plenum side round take off, size 14""","0"
"DFRPLN","FPLG-16","Plenum side round take off, size 16""","0"
"DFRPLN","FPLG-18","Plenum side round take off, size 18""","0"
"DFRPLN","FPLG-20","Plenum side round take off, size 20""","0"
"DFRPLN","FPLG-22","Plenum side round take off, size 22""","0"
"DFRPLN","FPLG-24","Plenum side round take off, size 24""","0"
"DFRPLN","FPLG-30","Plenum side round take off, size 30""","0"
"DFRPLN","FPLG-4","Plenum side round take off, size 4""","0"
"DFRPLN","FPLG-5","Plenum side round take off, size 5""","0"
"DFRPLN","FPLG-6","Plenum side round take off, size 6""","0"
"DFRPLN","FPLG-7","Plenum side round take off, size 7""","0"
"DFRPLN","FPLG-8","Plenum side round take off, size 8""","0"
"DFRPLN","FPLG-9","Plenum side round take off, size 9""","0"
"DFRPLN","FPLK-10","Plenum top round take off, size 10""","0"
"DFRPLN","FPLK-12","Plenum top round take off, size 12""","0"
"DFRPLN","FPLK-14","Plenum top round take off, size 14""","0"
"DFRPLN","FPLK-16","Plenum top round take off, size 16""","0"
"DFRPLN","FPLK-18","Plenum top round take off, size 18""","0"
"DFRPLN","FPLK-20","Plenum top round take off, size 20""","0"
"RHALL","MNO-CU1250","Manifold Transition for 1 1/4"" Brass/Steel to copper 1 1/4""","0"
"RHALL","MNO-CU1000","Manifold Transition for 1 1/4"" Brass/Steel to copper 1""","0"
"RHALL","MNO-CU0750","Manifold Transition for 1 1/4"" Brass/Steel to copper 3/4""","0"
"RHALL","MNO-PAP1000","Manifold Transition for 1 1/4"" Brass/Steel to pap 1""","0"
"RHALL","MNO-PAP0750","Manifold Transition for 1 1/4"" Brass/Steel to pap 3/4""","0"
"RHALL","FTACC-CAB-3","Manifold wall cabinet (large)","0"
"RHALL","FTACC-CAB-2","Manifold wall cabinet (medium)","0"
"RHALL","FTACC-CAB-1","Manifold wall cabinet (small)","0"
"RHALL","MAN-HK-01","Manifold with valves and flow meter, 1 port","0"
"RHALL","MAN-HK-10","Manifold with valves and flow meter, 10 port","0"
"RHALL","MAN-HK-11","Manifold with valves and flow meter, 11 port","0"
"RHALL","MAN-HK-12","Manifold with valves and flow meter, 12 port","0"
"RHALL","MAN-HK-02","Manifold with valves and flow meter, 2 port","0"
"RHALL","MAN-HK-03","Manifold with valves and flow meter, 3 port","0"
"RHALL","MAN-HK-04","Manifold with valves and flow meter, 4 port","0"
"RHALL","MAN-HK-05","Manifold with valves and flow meter, 5 port","0"
"RHALL","MAN-HK-06","Manifold with valves and flow meter, 6 port","0"
"RHALL","MAN-HK-07","Manifold with valves and flow meter, 7 port","0"
"RHALL","MAN-HK-08","Manifold with valves and flow meter, 8 port","0"
"RHALL","MAN-HK-09","Manifold with valves and flow meter, 9 port","0"
"RHALL","BENDSUPM-5","Metal Bend support for 1/2"" tubing","0"
"RHALL","BENDSUPM-7","Metal Bend support for 3/4"" tubing","0"
"RHALL","BENDSUPM-4","Metal Bend support for 3/8"" tubing","0"
"RHALL","BENDSUPM-6","Metal Bend support for 5/8"" tubing","0"
"HVDALL","HV-MK-M","Metal plenum install kits","0"
"HVDALL","HV-MK-M-25","Metal plenum install kits, 2.5""","0"
"HVDALL","HV-SK-M","Metal plenum single install kit","0"
"HVDALL","HV-SK-M-25","Metal plenum single install kit, 2.5""","0"
"HVDALL","HV-TEE-M10","Metal tee, 10x9x9","0"
"RHALL","MAN-NP-10","NP Manifold, 1"", 10 port","0"
"RHALL","MAN-NP-11","NP Manifold, 1"", 11 port","0"
"RHALL","MAN-NP-12","NP Manifold, 1"", 12 port","0"
"RHALL","MAN-NP-02","NP Manifold, 1"", 2 port","0"
"RHALL","MAN-NP-03","NP Manifold, 1"", 3 port","0"
"RHALL","MAN-NP-04","NP Manifold, 1"", 4 port","0"
"RHALL","MAN-NP-05","NP Manifold, 1"", 5 port","0"
"RHALL","MAN-NP-06","NP Manifold, 1"", 6 port","0"
"RHALL","MAN-NP-07","NP Manifold, 1"", 7 port","0"
"RHALL","MAN-NP-08","NP Manifold, 1"", 8 port","0"
"RHALL","MAN-NP-09","NP Manifold, 1"", 9 port","0"
"RHALL","TTD-NYCT-05","Nylon cable ties, 1"" tube size","0"
"RHALL","TTD-NYCT-02","Nylon cable ties, 1/2"" tube size","0"
"RHALL","TTD-NYCT-04","Nylon cable ties, 3/4"" tube size","0"
"RHALL","TTD-NYCT-01","Nylon cable ties, 3/8"" tube size","0"
"RHALL","TTD-NYCT-03","Nylon cable ties, 5/8"" tube size","0"
"RHALL","FTACC-OFUN","Off-Set Union","0"
"DFRBTR","FBTM-10","Offset vert floor boot from round duct, size 10""","0"
"DFRBTR","FBTM-4","Offset vert floor boot from round duct, size 4""","0"
"DFRBTR","FBTM-5","Offset vert floor boot from round duct, size 5""","0"
"DFRBTR","FBTM-6","Offset vert floor boot from round duct, size 6""","0"
"DFRBTR","FBTM-7","Offset vert floor boot from round duct, size 7""","0"
"DFRBTR","FBTM-8","Offset vert floor boot from round duct, size 8""","0"
"DFRBTR","FBTM-9","Offset vert floor boot from round duct, size 9""","0"
"DFRBTR","FBTH-10","Perimeter boot, size 10""","0"
"DFRBTR","FBTH-4","Perimeter boot, size 4""","0"
"DFRBTR","FBTH-5","Perimeter boot, size 5""","0"
"DFRBTR","FBTH-6","Perimeter boot, size 6""","0"
"DFRBTR","FBTH-7","Perimeter boot, size 7""","0"
"DFRBTR","FBTH-8","Perimeter boot, size 8""","0"
"DFRBTR","FBTH-9","Perimeter boot, size 9""","0"
"RHALL","FS-PXCL45","PEX Clip for 3/4"" and 5/8"" tubing","0"
"RHALL","TTD-PPCP-05","Pipe clamp, 1"" tube size","0"
"RHALL","TTD-PPCP-02","Pipe clamp, 1/2"" tube size","0"
"DFRPLN","FPLC-18","Plenum elbow with mitered corner, size 18""","0"
"DFRPLN","FPLC-20","Plenum elbow with mitered corner, size 20""","0"
"DFRPLN","FPLC-4","Plenum elbow with mitered corner, size 4""","0"
"DFRPLN","FPLC-5","Plenum elbow with mitered corner, size 5""","0"
"DFRPLN","FPLC-6","Plenum elbow with mitered corner, size 6""","0"
"DFRPLN","FPLC-7","Plenum elbow with mitered corner, size 7""","0"
"DFRPLN","FPLC-8","Plenum elbow with mitered corner, size 8""","0"
"DFRPLN","FPLC-9","Plenum elbow with mitered corner, size 9""","0"
"DFRPLN","FPLF-10","Plenum elbow with transition, size 10""","0"
"DFRPLN","FPLF-12","Plenum elbow with transition, size 12""","0"
"DFRPLN","FPLF-16","Plenum elbow with transition, size 16""","0"
"DFRPLN","FPLF-18","Plenum elbow with transition, size 18""","0"
"DFRPLN","FPLF-20","Plenum elbow with transition, size 20""","0"
"DFRPLN","FPLF-4","Plenum elbow with transition, size 4""","0"
"DFRPLN","FPLF-5","Plenum elbow with transition, size 5""","0"
"DFRPLN","FPLF-6","Plenum elbow with transition, size 6""","0"
"DFRPLN","FPLF-7","Plenum elbow with transition, size 7""","0"
"DFRPLN","FPLF-8","Plenum elbow with transition, size 8""","0"
"DFRPLN","FPLF-9","Plenum elbow with transition, size 9""","0"
"DFRPLN","FPLB-10","Plenum elbow with vanes, size 10""","0"
"DFRPLN","FPLB-12","Plenum elbow with vanes, size 12""","0"
"DFRPLN","FPLB-16","Plenum elbow with vanes, size 16""","0"
"DFRPLN","FPLB-18","Plenum elbow with vanes, size 18""","0"
"DFRPLN","FPLB-20","Plenum elbow with vanes, size 20""","0"
"DFRPLN","FPLB-4","Plenum elbow with vanes, size 4""","0"
"DFRPLN","FPLB-5","Plenum elbow with vanes, size 5""","0"
"DFRPLN","FPLB-6","Plenum elbow with vanes, size 6""","0"
"DFRPLN","FPLB-7","Plenum elbow with vanes, size 7""","0"
"DFRPLN","FPLB-8","Plenum elbow with vanes, size 8""","0"
"DFRPLN","FPLB-9","Plenum elbow with vanes, size 9""","0"
"DFRPLN","FPLA-10","Plenum elbow, size 10""","0"
"DFRPLN","FPLA-12","Plenum elbow, size 12""","0"
"DFRPLN","FPLI-3006","Plenum rect take off, size 30""x6""","0"
"DFRPLN","FPLI-3008","Plenum rect take off, size 30""x8""","0"
"DFRPLN","FPLI-0404","Plenum rect take off, size 4""x4""","0"
"DFRPLN","FPLI-0604","Plenum rect take off, size 6""x4""","0"
"DFRPLN","FPLI-0606","Plenum rect take off, size 6""x6""","0"
"DFRPLN","FPLI-0804","Plenum rect take off, size 8""x4""","0"
"DFRPLN","FPLI-0806","Plenum rect take off, size 8""x6""","0"
"DFRPLN","FPLI-0808","Plenum rect take off, size 8""x8""","0"
"DFRPLN","FPLH-1010","Plenum rect tapered take off, size 10""x10""","0"
"DFRPLN","FPLH-1004","Plenum rect tapered take off, size 10""x4""","0"
"DFRPLN","FPLH-1006","Plenum rect tapered take off, size 10""x6""","0"
"DFRPLN","FPLH-1008","Plenum rect tapered take off, size 10""x8""","0"
"DFRPLN","FPLH-1210","Plenum rect tapered take off, size 12""x10""","0"
"DFRPLN","FPLH-1212","Plenum rect tapered take off, size 12""x12""","0"
"DFRPLN","FPLH-1204","Plenum rect tapered take off, size 12""x4""","0"
"DFRPLN","FPLH-1206","Plenum rect tapered take off, size 12""x6""","0"
"DFRPLN","FPLH-1208","Plenum rect tapered take off, size 12""x8""","0"
"DFRPLN","FPLH-1410","Plenum rect tapered take off, size 14""x10""","0"
"DFRPLN","FPLH-1412","Plenum rect tapered take off, size 14""x12""","0"
"DFRPLN","FPLH-1404","Plenum rect tapered take off, size 14""x4""","0"
"DFRPLN","FPLH-1406","Plenum rect tapered take off, size 14""x6""","0"
"DFRPLN","FPLH-1408","Plenum rect tapered take off, size 14""x8""","0"
"DFRPLN","FPLH-1610","Plenum rect tapered take off, size 16""x10""","0"
"DFRPLN","FPLH-1612","Plenum rect tapered take off, size 16""x12""","0"
"DFRPLN","FPLH-1606","Plenum rect tapered take off, size 16""x6""","0"
"DFRPLN","FPLH-1608","Plenum rect tapered take off, size 16""x8""","0"
"DFRPLN","FPLH-1604","Plenum rect tapered take off, size 16x4""","0"
"DFRPLN","FPLH-1804","Plenum rect tapered take off, size 18""x4""","0"
"DFRPLN","FPLH-1810","Plenum rect tapered take off, size 18x10""","0"
"DFRPLN","FPLK-22","Plenum top round take off, size 22""","0"
"DFRPLN","FPLK-24","Plenum top round take off, size 24""","0"
"DFRPLN","FPLK-30","Plenum top round take off, size 30""","0"
"DFRPLN","FPLK-4","Plenum top round take off, size 4""","0"
"DFRPLN","FPLK-5","Plenum top round take off, size 5""","0"
"DFRPLN","FPLK-6","Plenum top round take off, size 6""","0"
"DFRPLN","FPLK-7","Plenum top round take off, size 7""","0"
"DFRPLN","FPLK-8","Plenum top round take off, size 8""","0"
"DFRPLN","FPLK-9","Plenum top round take off, size 9""","0"
"RHALL","TTD-PYMC-05","Polymer mesh clips for 1"" tube size","0"
"RHALL","TTD-PYMC-02","Polymer mesh clips for 1/2"" tube size","0"
"RHALL","TTD-PYMC-04","Polymer mesh clips for 3/4"" tube size","0"
"RHALL","TTD-PYMC-01","Polymer mesh clips for 3/8"" tube size","0"
"RHALL","TTD-PYMC-03","Polymer mesh clips for 5/8"" tube size","0"
"RHALL","MAN-PRAS-01","Preassembled manifold, 1 port","0"
"RHALL","MAN-PRAS-10","Preassembled manifold, 10 ports","0"
"RHALL","MAN-PRAS-11","Preassembled manifold, 11 ports","0"
"RHALL","MAN-PRAS-12","Preassembled manifold, 12 ports","0"
"RHALL","MAN-PRAS-02","Preassembled manifold, 2 ports","0"
"RHALL","MAN-PRAS-03","Preassembled manifold, 3 ports","0"
"RHALL","MAN-PRAS-04","Preassembled manifold, 4 ports","0"
"RHALL","MAN-PRAS-05","Preassembled manifold, 5 ports","0"
"RHALL","MAN-PRAS-06","Preassembled manifold, 6 ports","0"
"RHALL","MAN-PRAS-07","Preassembled manifold, 7 ports","0"
"RHALL","MAN-PRAS-08","Preassembled manifold, 8 ports","0"
"RHALL","MAN-PRAS-09","Preassembled manifold, 9 ports","0"
"RHALL","PRESTEST","Pressure tester","0"
"RHALL","PRESTEST-NP2","Pressure tester for 1 1/4"" NP manifold","0"
"RHALL","PRESTEST-NP","Pressure tester for 1"" NP manifold","0"
"RHALL","PRESTEST-CM","Pressure tester for CM manifold","0"
"RHALL","PRESTEST-HK","Pressure tester for HK manifold","0"
"RHALL","PROMIX101","proMIX 101 water temperature control","0"
"RHALL","MAN-BQT-05","Qickzone manifold, 5 port","0"
"RHALL","MAN-BQM-05","Qickzone manifold, 5 port w/o therometers","0"
"RHALL","MAN-BQT-06","Qickzone manifold, 6 port","0"
"RHALL","MAN-BQM-06","Qickzone manifold, 6 port w/o therometers","0"
"RHALL","MAN-BQT-07","Qickzone manifold, 7 port","0"
"RHALL","MAN-BQM-07","Qickzone manifold, 7 port w/o therometers","0"
"RHALL","MAN-BQT-08","Qickzone manifold, 8 port","0"
"RHALL","MAN-BQM-08","Qickzone manifold, 8 port w/o therometers","0"
"RHALL","MAN-BQT-09","Qickzone manifold, 9 port","0"
"RHALL","MAN-BQM-09","Qickzone manifold, 9 port w/o therometers","0"
"RHALL","MAN-BQMH-07","Qickzone manifold, Horiz. Brackets,  7 port w/o therometers","0"
"RHALL","MAN-BQTH-01","Qickzone manifold, Horiz. Brackets, 1 port","0"
"RHALL","MAN-BQMH-01","Qickzone manifold, Horiz. Brackets, 1 port w/o therometers","0"
"RHALL","MAN-BQTH-10","Qickzone manifold, Horiz. Brackets, 10 port","0"
"RHALL","MAN-BQMH-10","Qickzone manifold, Horiz. Brackets, 10 port w/o therometers","0"
"RHALL","MAN-BQTH-11","Qickzone manifold, Horiz. Brackets, 11 port","0"
"RHALL","MAN-BQMH-11","Qickzone manifold, Horiz. Brackets, 11 port w/o therometers","0"
"RHALL","MAN-BQTH-12","Qickzone manifold, Horiz. Brackets, 12 port","0"
"RHALL","MAN-BQMH-12","Qickzone manifold, Horiz. Brackets, 12 port w/o therometers","0"
"RHALL","MAN-BQTH-02","Qickzone manifold, Horiz. Brackets, 2 port","0"
"RHALL","MAN-BQMH-02","Qickzone manifold, Horiz. Brackets, 2 port w/o therometers","0"
"RHALL","MAN-BQTH-03","Qickzone manifold, Horiz. Brackets, 3 port","0"
"RHALL","MAN-BQMH-03","Qickzone manifold, Horiz. Brackets, 3 port w/o therometers","0"
"RHALL","MAN-BQTH-04","Qickzone manifold, Horiz. Brackets, 4 port","0"
"RHALL","MAN-BQMH-04","Qickzone manifold, Horiz. Brackets, 4 port w/o therometers","0"
"RHALL","MAN-BQTH-05","Qickzone manifold, Horiz. Brackets, 5 port","0"
"RHALL","MAN-BQMH-05","Qickzone manifold, Horiz. Brackets, 5 port w/o therometers","0"
"DFRELB","FRDEM-1004","Rect double mitered elbow, size 10"" x 4""","0"
"DFRELB","FRDEM-1006","Rect double mitered elbow, size 10"" x 6""","0"
"DFRELB","FRDEM-1008","Rect double mitered elbow, size 10"" x 8""","0"
"DFRELB","FRDEM-1210","Rect double mitered elbow, size 12"" x 10""","0"
"DFRELB","FRDEM-1208","Rect double mitered elbow, size 12"" x 8""","0"
"DFRELB","FRDEM-1410","Rect double mitered elbow, size 14"" x 10""","0"
"DFRELB","FRDEM-1408","Rect double mitered elbow, size 14"" x 8""","0"
"DFRELB","FRDEM-1610","Rect double mitered elbow, size 16"" x 10""","0"
"DFRELB","FRDEM-1608","Rect double mitered elbow, size 16"" x 8""","0"
"DFRELB","FRDEM-2010","Rect double mitered elbow, size 20"" x 10""","0"
"DFRELB","FRDEM-2008","Rect double mitered elbow, size 20"" x 8""","0"
"DFRELB","FRDEM-0804","Rect double mitered elbow, size 8"" x 4""","0"
"DFRELB","FRDEM-0806","Rect double mitered elbow, size 8"" x 6""","0"
"DFRELB","FRDEM-0808","Rect double mitered elbow, size 8"" x 8""","0"
"DFRELB","FRDES-1010","Rect double radius elbow, size 10"" x 10""","0"
"DFRELB","FRDES-1004","Rect double radius elbow, size 10"" x 4""","0"
"DFRELB","FRDES-1006","Rect double radius elbow, size 10"" x 6""","0"
"DFRELB","FRDES-1008","Rect double radius elbow, size 10"" x 8""","0"
"DFRELB","FRDES-1210","Rect double radius elbow, size 12"" x 10""","0"
"DFRELB","FRDES-1208","Rect double radius elbow, size 12"" x 8""","0"
"DFRELB","FRDES-1410","Rect double radius elbow, size 14"" x 10""","0"
"DFRELB","FRDES-1408","Rect double radius elbow, size 14"" x 8""","0"
"DFRELB","FRDES-1610","Rect double radius elbow, size 16"" x 10""","0"
"DFRELB","FRDES-1608","Rect double radius elbow, size 16"" x 8""","0"
"DFRELB","FRDES-2010","Rect double radius elbow, size 20"" x 10""","0"
"DFRELB","FRDES-2008","Rect double radius elbow, size 20"" x 8""","0"
"DFRELB","FRDES-0804","Rect double radius elbow, size 8"" x 4""","0"
"DFRELB","FRDES-0806","Rect double radius elbow, size 8"" x 6""","0"
"DFRELB","FRELM-0804","Rect mitered elbow, size 8"" x 4""","0"
"DFRELB","FRELM-0806","Rect mitered elbow, size 8"" x 6""","0"
"DFRELB","FRELM-0808","Rect mitered elbow, size 8"" x 8""","0"
"DFRELB","FROFA-1010","Rect offset, size 10"" x 10""","0"
"DFRELB","FROFA-1004","Rect offset, size 10"" x 4""","0"
"DFRELB","FROFA-1006","Rect offset, size 10"" x 6""","0"
"DFRELB","FROFA-1008","Rect offset, size 10"" x 8""","0"
"DFRELB","FROFA-1210","Rect offset, size 12"" x 10""","0"
"DFRELB","FROFA-1208","Rect offset, size 12"" x 8""","0"
"DFRELB","FROFA-1410","Rect offset, size 14"" x 10""","0"
"DFRELB","FROFA-1408","Rect offset, size 14"" x 8""","0"
"DFRELB","FROFA-1610","Rect offset, size 16"" x 10""","0"
"DFRELB","FROFA-1608","Rect offset, size 16"" x 8""","0"
"DFRELB","FROFA-2010","Rect offset, size 20"" x 10""","0"
"DFRELB","FROFA-2008","Rect offset, size 20"" x 8""","0"
"DFRELB","FROFA-0804","Rect offset, size 8"" x 4""","0"
"DFRELB","FROFA-0806","Rect offset, size 8"" x 6""","0"
"DFRELB","FROFA-0808","Rect offset, size 8"" x 8""","0"
"DFRELB","FRELSV-1010","Rect radius elbow with vanes, size 10"" x 10""","0"
"DFRELB","FRELSV-1004","Rect radius elbow with vanes, size 10"" x 4""","0"
"DFRELB","FRELSV-1006","Rect radius elbow with vanes, size 10"" x 6""","0"
"DFRELB","FRELSV-1008","Rect radius elbow with vanes, size 10"" x 8""","0"
"DFRELB","FRELSV-1210","Rect radius elbow with vanes, size 12"" x 10""","0"
"DFRELB","FRELSV-1208","Rect radius elbow with vanes, size 12"" x 8""","0"
"DFRELB","FRELSV-1410","Rect radius elbow with vanes, size 14"" x 10""","0"
"DFRELB","FRELSV-1408","Rect radius elbow with vanes, size 14"" x 8""","0"
"DFRELB","FRELSV-1610","Rect radius elbow with vanes, size 16"" x 10""","0"
"DFRELB","FRELSV-1608","Rect radius elbow with vanes, size 16"" x 8""","0"
"DFRELB","FRELSV-2010","Rect radius elbow with vanes, size 20"" x 10""","0"
"DFRELB","FRELSV-2008","Rect radius elbow with vanes, size 20"" x 8""","0"
"DFRELB","FRELSV-0804","Rect radius elbow with vanes, size 8"" x 4""","0"
"RHALL","PROMIX201","proMIX 201 water temperature control","0"
"RHALL","PROMIX212","proMIX 212 water temperature control","0"
"RHALL","PROMIX701","proMIX 701 water temperature control","0"
"RHALL","PROPAN101","proPANEL 101 water temperature control","0"
"RHALL","PROPAN201","proPANEL 201 water temperature control","0"
"RHALL","PROPAN212","proPANEL 212 water temperature control","0"
"RHALL","PROPAN311P","proPANEL 311P water temperature control","0"
"RHALL","PROPAN311V","proPANEL 311V water temperature control","0"
"RHALL","BENDSUPC-8","PVC Bend support for 1"" tubing","0"
"RHALL","BENDSUPC-7","PVC Bend support for 3/4"" tubing","0"
"RHALL","BENDSUPC-5","PVC Bend support for 3/8"" or 1/2"" tubing","0"
"RHALL","BENDSUPC-6","PVC Bend support for 5/8"" tubing","0"
"RHALL","FT-BQ-4","QickZone Manifold PEX Connectors - 1/2"" (2 per bag)","0"
"RHALL","FT-BQ-6","QickZone Manifold PEX Connectors - 3/4"" (2 per bag)","0"
"RHALL","FT-BQ-3","QickZone Manifold PEX Connectors - 3/8"" (2 per bag)","0"
"RHALL","FT-BQ-5","QickZone Manifold PEX Connectors - 5/8"" (2 per bag)","0"
"RHALL","MAN-BQT-01","Qickzone manifold, 1 port","0"
"RHALL","MAN-BQM-01","Qickzone manifold, 1 port w/o therometers","0"
"RHALL","MAN-BQT-10","Qickzone manifold, 10 port","0"
"RHALL","MAN-BQM-10","Qickzone manifold, 10 port w/o therometers","0"
"RHALL","MAN-BQT-11","Qickzone manifold, 11 port","0"
"RHALL","MAN-BQM-11","Qickzone manifold, 11 port w/o therometers","0"
"RHALL","MAN-BQT-12","Qickzone manifold, 12 port","0"
"RHALL","MAN-BQM-12","Qickzone manifold, 12 port w/o therometers","0"
"RHALL","MAN-BQT-02","Qickzone manifold, 2 port","0"
"RHALL","MAN-BQM-02","Qickzone manifold, 2 port w/o therometers","0"
"RHALL","MAN-BQT-03","Qickzone manifold, 3 port","0"
"RHALL","MAN-BQM-03","Qickzone manifold, 3 port w/o therometers","0"
"RHALL","MAN-BQT-04","Qickzone manifold, 4 port","0"
"RHALL","MAN-BQM-04","Qickzone manifold, 4 port w/o therometers","0"
"RHALL","MAN-BQTH-06","Qickzone manifold, Horiz. Brackets, 6 port","0"
"RHALL","MAN-BQMH-06","Qickzone manifold, Horiz. Brackets, 6 port w/o therometers","0"
"RHALL","MAN-BQTH-07","Qickzone manifold, Horiz. Brackets, 7 port","0"
"RHALL","MAN-BQTH-08","Qickzone manifold, Horiz. Brackets, 8 port","0"
"RHALL","MAN-BQMH-08","Qickzone manifold, Horiz. Brackets, 8 port w/o therometers","0"
"RHALL","MAN-BQTH-09","Qickzone manifold, Horiz. Brackets, 9 port","0"
